name,age,city,salary,signup_date
Evan Wright,43.0,Houston,80357.89,2023-12-15
Julia Novak,32.0,houston,48010.94,2024-08-07
Julia Novak,64.0,Phoenix,85386.57,2024-01-27
Alice Smith,,houston,54980.08,2023-09-08
George Kim,37.0,chicago ,53019.63,2023-04-23
Alice Smith,52.0,Phoenix,950000.0,2023-07-21
George Kim,22.0,Phoenix ,22823.21,2023-09-15
Alice Smith,34.0,Houston,,2023-12-16
Hannah Patel,41.0,Phoenix ,62155.24,2023-06-01
Hannah Patel,50.0,chicago ,48000,2023-12-23
Dana Lee,51.0,LA,38244.87,2024-05-31
Dana Lee,51.0,Phoenix ,40364.67,2024-02-20
CHARLIE DAVIS,,Los Angeles,77612.08,2023-07-23
Alice Smith,30.0,Phoenix ,72755.17,2024-01-29
Dana Lee,64.0,Chicago,49814.24,2023-02-05
Julia Novak,64.0,Phoenix,85386.57,2024-01-27
George Kim,61.0,houston,73998.28,2024-02-18
Ian Wallace,56.0,chicago ,73707.34,2024-10-23
Hannah Patel,35.0,chicago ,57087.0,2023-07-10
George Kim,52.0,Houston,29592.27,2024-05-03
CHARLIE DAVIS,-5.0,Chicago,70627.57,2024-06-13
Fiona Chen,33.0,new york,64097.33,2024-03-14
Julia Novak,58.0,Houston,64820.59,2024-10-23
Evan Wright,45.0,Phoenix ,68415.28,2023-11-28
George Kim,51.0,chicago ,83753.6,2023-09-05
Hannah Patel  ,30.0,Chicago,34182.24,2023-03-27
Julia Novak,56.0,Los Angeles,49868.24,2023-06-11
Ian Wallace,45.0,Phoenix ,47921.1,2023-02-12
Alice Smith,52.0,New York,59016.63,2023-09-27
Fiona Chen,61.0,new york,32794.59,2023-10-15
Alice Smith,43.0,new york,51037.54,
CHARLIE DAVIS,18.0,Chicago,34502.16,2024-05-21
Ian Wallace,51.0,Chicago,20858.74,2023-10-26
Hannah Patel,33.0,New York,43807.53,2023-07-30
Hannah Patel,62.0,New York,55333.67,2024-03-16
CHARLIE DAVIS,61.0,chicago ,48563.97,2023-05-25
Julia Novak,29.0,New York,53862.79,2024-10-09
CHARLIE DAVIS,32.0,LA,66719.53,2023-04-16
Ian Wallace,21.0,houston,52014.36,2024-08-30
bob jones,48.0,New York,45807.14,2024-01-05
